paper_name,keywords_name,publishing_date,abstract,abstract2
"
			IoT Enabled Wearable Device for COVID Safety and Emergencies
					",",											Internet of Things (IoT), 											IFTTT, 											COVID, 											Macrodroid									,","2021-02-12,",,",					,,,					The worldwide outbreak of COVID-19 has significantly changed the mindset of the people and over the period they started practicing healthy lifestyle to contain the spread of the virus. Despite this, increase in the number of cases and death rates across the globe are major cause of concern. In addition to maintaining the healthy lifestyle it is also essential to exploit the technological advancements in the field of Internet of Things (IoT) in designing a cost-effective wearable device which could possibly indicate the early stages of virus infection. In this work, a low cost IoT enabled wearable device is designed which generates alerts in case of any of the measured parameter goes out of the normal range besides sending notifications.,,				,"
"
			Using Design-Based Research to Develop Innovation in Open University in Thailand
					",",											Design Based Research, 											Distance learning, 											Smart technology									,","2021-02-26,","This paper discusses Design-Based Research (DBR) used to  develop an innovation in a distance university. The innovation focuses on    self-study through technology. It has results in 3 aspects which are 1) Instructors can assess knowledge and prepare the content from both internal and external learning sources in accordance with students’ needs, 2) Students can analyze their ability in order to plan successful online learning by themselves, and 3) Instructional designers can analyze, plan, design activities and select learning resources in accordance with the content and learning behavior. This paper describes the concept of DBR with the sample of ""STOU Smartlearn"" innovation design which is a smart evaluation system of Sukhothai Thammathirat Open University (STOU).  The innovation was designed based on DBR process. It has been used with students and could be modified to suit students’ needs. The results of the two experiments with undergraduate students in the academic year 2018 and 2019 found that the effect size increased from .27 to .32.,",",					,,,					,,,				,"
"
			Adoption of Mobile Learning: The Influence And Opportunities For Learning During The Covid-19 Pandemic
					",",											Adoption of mobile learning, 											covid pandemic 19, 											online learning, 											student inter-ests									,","2021-03-16,",,",					,,,					Research It is designed using quantitative and qualitative approaches. The sampling technique used in this study was purposive sampling. The samples in this study were lecturers and students. Data collection techniques using questionnaires and interviews. Interviews were conducted by interviewing lecturers at several different campuses. The results of the interview show that mobile learning is the learning that students are most interested in because it can be accessed through their cellphones. Quantitative data analysis used the product-moment correlation test. The research subjects consisted of 110 students. The significance level of 0.001 (p <0.05) indicates that there is a significant influence between the adoption of mobile learning on student interest in learning during the Covid pandemic 19.,,				,"
"
			The Use of Mobile Phones and their Apps in Tourism Marketing in the Kingdom of Saudi Arabia
					",",											Mobile phone, 											tourism, 											marketing, 											smartphone apps.									,","2021-03-30,","This study aims at identifying the importance of using smartphone apps in tourism marketing in Al-Kharj Governorate in the Kingdom of Saudi Arabia. The study used the descriptive and analytical approach in studying its hypotheses and achieving its objectives. It concluded that the majority of the study sample use smartphones and their tourism apps in the process of obtaining information and complete the purchasing process for the tourist trip.These apps are used to attract tourists as the best advertising method that attracts the targeted market. The study presented a set of recommendations, the most important of which is increasing cooperation between the authorities that supervise the tourism activity in the governorate when designing these apps and working to develop the technological infrastructure in line with the nature of development in the field of smartphones.,",",					,,,					,,,				,"
"
			Evaluation of Students Performance using Fuzzy Set Theory in Online Learning of Islamic Finance Course
					",",											Fuzzy Set Theory, 											Student Performance, 											Online Learning, 											Islamic Fi-nance									,","2021-04-09,","The objective of this study is to evaluate student performance using fuzzy set theory in Islamic Finance online course. This study focuses on selecting best individual among 30 students that registered for Islamic Bank Management course. The variables that involved in this study are online quiz marks, online assignment marks and online self-learning time.  The outcome of the fuzzy set analysis was compared with final examination data. The methodology of this study involving converting real data to fuzzy set, intersection calculation, decision analysis using maximizing approach. Result of fuzzy set shows the best individual score is 0.9. This student selected as best candidate for student performance in online learning with considering three variables namely online quizzes, online assignment and online self-learning hour. The comparison with final examination marks shows a good agreement with fuzzy set theory that concluded best individual from fuzzy set theory exhibits highest performance during final examination. The main finding of this study can help educators to predict the best performer in online learning class. In the same time, finding of this study can act as guideline to advise students in achieving their desired grade for online learning course.,",",					,,,					,,,				,"
"
			Predictive Analytic on Human Resource  Department Data Based on Uncertain Numeric  Features Classification
					",",											Predictive Analytic, 											Naïve Bayes, 											Business Intelligence, 											Human Resource									,","2021-04-23,",,",					,,,					Business Intelligence is very popular and useful for a better understanding of business progress these days, and there are many different methods or tools being used in Business Intelligence. It uses combination of artificial intelligence, data mining, math, and statistic to gain better understanding and insight on the business process performance. As employees have an important role in business process, the desire to have a tool for classifying and predicting their wages are desirable. In this research, we tried to analyzed dataset from Human Resource Department, and this dataset can be used to analyst the data in order to draw a conclusion about whether any employees would prematurely leave the company, and then, a preventive action based on those parameters can be proposed. This is a kind of predictive analytic system which bases on Naïve Bayes, and it can predict whether an employee would leave or stay according to his or her characteristics. But the Naïve Bayes itself does not enough. So we develop a way to solve the problem using uncertain Numeric features classification on it. The accuracy of the result is depended on the amount and effectiveness of the training sets.,,				,"
"
			Designing Website-Based Scholarship Management Application for Teaching of Analytical Hierarchy Process (AHP) in Decision Support Systems (DSS) Subjects
					",",											Scholarship, 											Website Based Application, 											Teaching Analytical Hierarchy Process, 											Decision Support System									,","2021-05-04,",,",					,,,					Teaching Analytical Hierarchy Process (AHP) in Decision Support Systems (DSS) subjects encourages students to know how a good decision is taken. AHP itself in the field of education and teaching has been widely used as an effective and efficient method in solving educational problems. The purpose of this paper is to designing website-based scholarship management application for teaching of Analytical Hierarchy Process (AHP) in Decision Support Systems (DSS) subjects. Scholarship management using AHP is choosing the right criteria is very important. This system uses 5 criteria, namely academic value, academic achievement, non-academic achievement, parents 'income, and parents' dependents, as a basis for producing decision-supporting information. The scholarship management system is embodied in a website-based computer application. Utilizing this application provides more assistance to donors, so that the results of this learning are not only proven in theory but also in practice in real conditions. In addition, the Website-Based Scholarship Management Application can be run on a mobile basis and can be accessed wherever and whenever they are.,,				,"
"
			Real Time System Monitoring and Analysis-Based Internet of Things (IoT) Technology in Measuring Outdoor Air Quality
					",",											Air Quality, 											IoT, 											Web, 											Measuring, 											Internet of Things									,","2021-05-25,",,",					,,,					The presence of large peatland in Riau, Indonesia, could cause air pollution due to peatland fires which causes the presence of thick smoke every year in Riau,  dis-rupting human activities. In order to monitor the air quality, in this paper,  the main advantage of the  Internet of Things (IoT) is the ability to transfer data over the network without requiring human-to-human or human interaction to the com-puter   used. In this paper, we propose an air quality monitor that can display web-based information to show the temperature and air humidity, and detects CO, CO2 gases, and alcohol in real time with the help of DHT11 and MQ135 sensors, Arduino Uno and Raspberry Pie. The results show our proposed system can successfully show each parameter of the air quality on the website and make suggestions about the overall air quality level. With our proposed system, we hope the government can respond faster to mitigate the bad air quality level and give information to public about the air quality level in a faster and more accurate way.,,				,"
"
			Helping Junior High School Student to Learn Fibonacci Sequence with Video-Based Learning
					",",											Fibonacci, 											Junior High School student, 											Video Based Learning, 											Geometry Sequence									,","2021-06-04,",,",					,,,					In the 21st century, a teacher must be able to make teaching and learning activities conductive, fun That can improve students’ learning interest. Fibonacci sequence material is one of the materials that is difficult for Junior High school students to master. Based on this problem, the focus of this research is to create video learning on Fibonacci sequence material using Hawgent. This research is developed in Guangxi Normal University, China. This research is a research and development (RnD) using 4D model. 4D model consists of Defining, Design, Development, Dissemination. Video learning is made using interesting animations that are easy for students to understand. The results of this study indicate that the video learning has passed validation and can be sent to schools to help students understand Fibonacci sequence,,				,"
"
			Professional Skills Development Through the Network Learning Community Using an Online Learning Platform
					",",											Networked Learning Community, 											21st century learning, 											multimedia industry, 											live streaming media									,","2021-06-18,",,",					,,,					Networked learning Community (NLC)  that integrates a professional context into the learning experience that uses learning networks to promote self-efficacy and professional development. Online Learning design integrates three techniques: focus on developing personal learning networks, live streaming and online based learning communities and immersive skills and experience mastery for professionals. The hypothesis is that networked learning community among peers in the online learning will help support skills development and confidence in sustainable use of the platform in a personalized way. Meanwhile networking for learning with professionals will strengthen the impact of mastery experience on self-efficacy. Learning experiences as relevant for lifelong learning and professional success are important in today's learning era. NLC aligned with the goals of the 21st century skills movement can be an important mechanism for scaling up efforts to redesign academies that offer skills with a forum for broad but personal learning. The live streaming technique in the learning process in online media has a significant impact in monitoring and monitoring one-on-one learners' abilities. Learning outcomes can be easily corrected and evaluated by relevant experts so that the work can be used as a good portfolio. In the application of the  NLC the target output is that there is a promotion mechanism for students to the industrial world by bringing together professional companies and / or developing entrepreneurship with the addition of business training to the relevant NLC. The results of the platform development show that the flow and process of improving skills and professional learning with the community in one field of multimedia industry is getting better,,				,"
