,term,occurrences
0,105,2
1,11,1
2,110,1
3,12,4
4,16,1
5,18,2
6,19,2
7,1988,1
8,20,1
9,2017,1
10,2020,2
11,2021,1
12,26,1
13,38,1
14,4g,1
15,56,1
16,68,1
17,86,1
18,92,1
19,94,1
20,academ,1
21,accept,5
22,access,1
23,accord,3
24,accur,1
25,acquir,1
26,activ,3
27,activities,1
28,actor,1
29,adapt,2
30,addit,2
31,addition,1
32,adjust,1
33,administ,1
34,advanc,1
35,affect,4
36,affected,1
37,age,1
38,aim,5
39,alloc,1
40,allow,1
41,alreadi,1
42,analog,2
43,analys,1
44,analysi,3
45,analysis,1
46,analyz,2
47,android,2
48,annual,1
49,answer,2
50,app,2
51,appl,1
52,applic,5
53,application,3
54,approach,9
55,appropri,1
56,arabia,1
57,arabian,2
58,architectur,1
59,area,1
60,arts,2
61,aspect,2
62,assess,1
63,assist,1
64,associ,2
65,auditori,1
66,authent,3
67,authors,1
68,avail,1
69,bachelor,8
70,background,1
71,bas,2
72,base,5
73,becaus,3
74,becom,1
75,begin,1
76,behav,1
77,behavior,2
78,behaviour,1
79,better,1
80,book,1
81,build,1
82,campus,1
83,center,1
84,centr,2
85,chang,1
86,characterist,2
87,characteristic,1
88,chemistri,1
89,citi,1
90,class,1
91,classes,1
92,classic,1
93,classroom,1
94,closures,1
95,coastal,1
96,collabor,1
97,collect,2
98,commit,1
99,communiti,1
100,compar,3
101,competit,1
102,complement,1
103,complet,1
104,concept,3
105,conclus,2
106,concret,1
107,conduct,2
108,confirm,1
109,consist,2
110,consolid,1
111,context,1
112,continu,1
113,contrast,1
114,conversationâ,1
115,convert,1
116,cope,2
117,correlation,1
118,cours,10
119,course,1
120,courses,3
121,covid,2
122,creat,2
123,current,1
124,daili,1
125,data,6
126,day,1
127,decision,1
128,declar,1
129,declin,1
130,deep,1
131,definit,2
132,deliveri,1
133,demograph,1
134,demotiv,1
135,described,1
136,descript,1
137,design,6
138,desir,2
139,determin,2
140,develop,6
141,development,2
142,devic,2
143,did,2
144,differ,2
145,difficulti,1
146,difficulties,1
147,dimens,1
148,dimensions,1
149,distanc,5
150,distinct,1
151,distractions,1
152,distribut,1
153,div,1
154,drawn,1
155,dure,4
156,educ,11
157,education,2
158,educators,1
159,effect,6
160,effective,1
161,effici,1
162,efficient,1
163,effort,1
164,electron,2
165,element,4
166,elementari,3
167,employ,2
168,end,1
169,enhancement,1
170,entri,2
171,environ,1
172,environment,2
173,environments,1
174,equip,1
175,especi,2
176,estim,1
177,evalu,4
178,evaluation,1
179,everi,1
180,examin,3
181,exampl,1
182,exams,1
183,exercis,1
184,exist,1
185,expect,1
186,experi,1
187,experienc,1
188,experimented,1
189,expert,3
190,explicit,1
191,explor,2
192,extract,1
193,fac,1
194,face,1
195,facil,1
196,factor,6
197,factors,1
198,fail,1
199,featur,2
200,feedback,1
201,feel,2
202,field,2
203,fields,1
204,focus,1
205,follows,1
206,form,1
207,framework,2
208,furthermore,2
209,futur,2
210,gadget,1
211,gain,1
212,game,2
213,gather,3
214,gender,1
215,general,1
216,given,3
217,govern,2
218,great,1
219,group,3
220,guidance,1
221,halt,1
222,hand,1
223,hannafin,1
224,happi,1
225,heavili,1
226,hedon,2
227,hierarch,1
228,high,2
229,home,1
230,homes,1
231,hour,1
232,human,1
233,hundr,1
234,ideal,1
235,impact,3
236,implement,7
237,implic,1
238,import,2
239,impos,1
240,improv,2
241,improvement,1
242,inattentive,1
243,includ,2
244,increas,3
245,independ,1
246,indic,1
247,indicators,1
248,individu,1
249,indonesia,2
250,influenc,4
251,influence,1
252,inform,1
253,infrastructur,1
254,institutions,1
255,intens,1
256,interact,5
257,internet,1
258,investig,1
259,irrespons,1
260,irt,1
261,item,3
262,items,2
263,job,1
264,key,1
265,knowledg,1
266,known,1
267,kosygina,1
268,kuban,1
269,lack,1
270,languag,1
271,language,1
272,latent,2
273,lead,1
274,learn,61
275,learner,4
276,learners,1
277,learnerâ,3
278,learning,5
279,lectur,2
280,lessons,1
281,level,2
282,life,1
283,like,1
284,likert,2
285,limit,1
286,literatur,2
287,location,1
288,logic,1
289,logist,1
290,look,1
291,low,1
292,main,2
293,make,1
294,malaysia,2
295,manag,2
296,management,3
297,managers,1
298,march,1
299,match,1
300,materials,1
301,meaning,1
302,measur,3
303,mechan,1
304,media,3
305,medic,1
306,memrg,4
307,mention,1
308,messag,1
309,method,4
310,methodolog,3
311,ministri,1
312,mix,1
313,mobil,37
314,mode,1
315,model,11
316,modern,1
317,modul,1
318,modules,1
319,moscow,1
320,motiv,6
321,motivation,1
322,multimedia,1
323,nation,1
324,nations,1
325,necess,1
326,need,1
327,negat,1
328,new,8
329,normal,1
330,note,2
331,object,1
332,obtain,2
333,occur,1
334,old,2
335,onlin,9
336,open,1
337,order,1
338,orient,1
339,oxyd,1
340,packag,1
341,pandem,1
342,pandemic,1
343,paper,4
344,paramet,1
345,peck,1
346,pedagog,2
347,pedagogical,1
348,penang,1
349,peopleâ,1
350,perceiv,1
351,percentag,1
352,performance,1
353,performances,1
354,person,1
355,phenomenon,1
356,pile,1
357,point,2
358,popul,1
359,popular,3
360,portabl,1
361,posit,2
362,possibl,1
363,potenti,1
364,practic,3
365,practical,1
366,predictor,1
367,prefer,1
368,preval,1
369,prevent,1
370,problem,5
371,process,7
372,processes,1
373,profession,1
374,program,1
375,project,1
376,propos,5
377,prospect,1
378,psycho,1
379,psycholog,4
380,pupils,1
381,purpos,2
382,pursuits,1
383,qualit,1
384,qualiti,5
385,quality,1
386,quantifi,1
387,quantit,2
388,questionnair,6
389,questionnaire,1
390,questionnaires,1
391,questions,1
392,rais,1
393,rasch,3
394,reactions,1
395,real,4
396,realiti,1
397,reason,4
398,receiv,2
399,recent,1
400,recommend,2
401,redokspro,1
402,redox,2
403,reduct,1
404,reflect,1
