,publishing_date,abstract
0,2021-08-23,artifici bee coloni abc wellstudi algorithm develop solv continu function optim problem karboga akay 2009 abc proven effect biologicalinspir algorithm good explor howev abc suffer low exploit slow converg case abc algorithm studi risen signif past decad mani research tri improv abc perform appli solv problem one method enhanc abc borrow explor techniqu algorithm research use pheromon techniqu use ant coloni optim algorithm enhanc abc address sever aspect use pheromon enhanc abc systemat review aim review analysi articl use pheromon enhanc abc articl relat topic systemat search four major databa name scopus web scienc associ comput machineri acm googl scholar ensur research articl consid start date restrict search carri till februari 2021five articl select base inclus exclus criteria systemat review result show use pheromon enhanc abc increa abc exploit abil overcom late converg paper also illustr sever potenti pheromon use futur work
1,2021-09-06,studi investig adopt mobil learn 3d simul android app innov tool learn physic high school student factor affect accept mobil learn also determin studi propo research model employ two construct perceiv use perceiv ea use technolog accept model tam baselin add anoth relev factor base prior mobil learn adopt research perceiv enjoy data collect questionnair distribut 50 high school student use googl form structur equat model sem use analyz develop research model studi find perceiv enjoy becom influenc factor consid high school student use mobil learn 3d simul android app follow perceiv use howev perceiv ea use factor signif influenc accept 3d simul android app
2,2021-09-20,generat z student mount challeng develop teach method millennium era due diver characterist previous generat profici util internet less attent environ prefer immedi thing regardless complex process shall go studi aim seek relationship pattern generat z cluster teach method internet usag frequenc studi involv 222 junior high school student jakarta twostep cluster crosstabul correspond analysi use data analysi method use correspond analysi find indic internet usag frequenc signif relationship generat z cluster teach method result conclud student use internet less five hour prefer full tutori method group assign use internet five hour prefer tutori field assign
3,2021-10-12,undergradu student categor generat z prefer learn use video rather book demonstr video suitabl product cour show step step product make studi aim 1 develop video pickl fruit product food preserv technolog cour universita negeri yogyakarta uni indonesia 2 determin video feasibl studi research develop rd perform ten step name inform collect plan develop initi product preliminari field test main product revi main field test oper product revi oper field test final product revi well dissemin implement data analysi perform descript video feasibl analysi conduct one materi expert one media expert two teacher two peer review four student oneonon test 36 student classroom test base feasibl test video declar feasibl learn media text imag anim effect appear sever part video make easier student understand content video emb learn manag system lms googl classroom moodl facilit mobil learn implement flip classroom design pretest posttest perform 29 student oper field test posttest signif higher pretest p<005 video abl improv student cognit skill
4,2021-10-25,studi aim investig role social network app tourism market travel tourism organ alkharj citi kingdom saudi arabia studi use descript analyt approach achiev object test hypothesi studi found social network app play vital role market tourism product alkharj citi well communic effect cheapli custom studi recommend nomin train worker tourism organ deal social media network design websit applic organ
5,2021-11-09,today high demand mobil cloud storag mcs servic need manag increa number work stabl perform situat bring challeng data manag system number work increa mcs need manag data wise avoid latenc occur latenc occur slow data perform avoid problem use mcs moreov mcs provid user access data faster correct henc research focus scalabl mobil cloud data storag manag studi scalabl deep data folder increa number work
6,2021-11-19,use app becom increa common higher institut often link need current generat qualit studi investig percept undergradu student univ malaysia part need analysi develop univ orient app fifteen particip interview find suggest particip posit percept app posit percept main base need navig around campus app help make navig easier effect serv onestop inform center addit navig purpo potenti user request gamif element keep interest use app paper conclud appeal orient app student expo univ surround time contain gamif element
7,2021-12-08,selfserv kiosk invent move technolog improv servic new era rapid develop societi use selfserv kiosk chang lifestyl schedul day need make free time work hour accomplish servic need avail 247 public sector adopt ssks high rate know potenti revolut servic offer improv work effici work experi reliev human workload reduc servic cost integr cloud technolog ssk emerg tendenc survey conduct form questionnair indic cloud enabl ssks aesthet appeal implement would assist offer right content right person right time sever industri adopt ssks technolog provid servic studi aim understand impact selfserv kiosk societi explain associ selfserv kiosk cloud comput
8,2022-01-18,sentiment investig progress calcul recogn well classifi peopl mental state outlin manuscript outlook individu concern particular subject matter investig assist statist inform accumul way assist api favor classifi end outcom base inform collect negat way neutral way way support score polar alloc favor everi statement collect data fruit discov enhanc consum requir acquir better tuneup major improv use concept sentiment analysi develop user need straightforward collect inform outsiz set consum
9,2022-02-10,rapid develop scienc technolog 21st centuri demand student school univ hold suffici skill includ critic think problem solv compet global educ system respon promot skill teach learn experi includ teach materi learn media appli class paper highlight develop mobil appsba digit comic media social learn integr person onlin learn step develop media appli gay procedur digit comic media present interact scienc knowledg platform form digit comic media enrich augment realiti technolog media test 20 student emerg covid19 pandem show good accept impli digit comic media valu use appli onlin learn
10,2022-02-28,mani resourc media learn onlin learn teacher made mani media made problem subject materi problem made onlin learn big databa mani materi made useless materi purpo big problem overload databa onlin learn cant access everyon research fix problem develop algorithm artifici intellig classif materi onlin learn subject purpo teacher use alreadi media algorithm text mine share nearest neighbour ssn emb mobil applic display classif locat search media databa onlin learn test research appli 142 media 130 data train 12 data test result test 947 accuraci algorithm averag valid 7333
11,2022-03-08,color recognit skill ear childhood import basi start learn recogn color child get benefit creativ develop develop sensori abil posit benefitsba result observ done kindergarten school locat tangerang indonesia found children still often confus difficulti distinguish color convent teach research color recognit applic built two languag aim help student recogn color faster test carri use pretest posttest method pair sampl test method measur level student develop use applic user accept test also carri use uat measur level user accept applic made evalu found result develop quit good tstat result 869 user accept test result 8672
12,2022-03-22,modern digit era impress develop mobil technolog entail reform orient disposit stanc educ chang domin approach learn articl introduc novel idea synergist develop comput think skill environ awar ear primari school year employ mobil technolog
13,2022-04-05,nowaday group communic mobil ad hoc network manet receiv signif attent multicast play import role simultan deliveri inform group receiv thus necessari design effici effect multicast rout protocol support group communic applic sever effort put improv multicast rout howev consid scalabl issu paper introduc novel scalabl geograph multicast rout protocol sgmrp main object protocol design lightweight scalabl multicast rout scheme irrespect number multicast member network size achiev virtual cluster strategi introduc strategi base partit network sectori zone propo solut perform effici packet forward reduc communic overhead propo scheme elimin duplic packet cluster reduc number particip node
14,2007-10-11,paper report survey investig role differ expect percept mobil learn mobil devic play establish mobil learn educ institut respon institut institut plan mobil learn plan current develop mobil learn programm compar various factor may contribut establish mobil learn educ institut therefor also investig factor includ amongst expect concern impact mobil technolog teach learn percept concern mobil learn applic mobil learn activ
15,2007-10-11,articl discuss potenti scenario use mobil media museum challeng pose examin characterist mobil technolog suit specif characterist museum set base consid differ way support visitor mobil devic put forward attent focus guidanc satisfact situat interest inform adapt specif visitor specif locat inform elabor facilit knowledg exchang document visit well assist exhibit evalu implic develop mobil applic museum deriv
16,2007-10-12,mani communic devic like mobil phone pdas enabl near field communic use bluetooth mani approach dealt far attempt transfer mobil adhoc network manet mechan âfix internet
17,2007-10-11,paper describ approach whose object appli mococo concept elearn short present mococo mobil cooper contextu imera mobil interact augment real environ principl discuss use project call hmtd help whose aim use wearabl comput framework activ better use mainten repair profess applianc success describ mlearn scope contextu cooper advantag well learn method case studi configur wearabl comput periph take account context insitu storag traceabl regul activ finish paper
18,2007-10-11,context awar essenti mobil learn high person environ diver capabl major challeng context awar defin learn context sen react chang propo system provid general architectur facilit contextu use current widelyus web standard provid systemat approach achiev contextu defin major compon function without deepen detail use web servic connect resourc make reusabl distribut addit technolog platform propo system avail general public licen gpl henc facilit immedi implement paper end real world scenario mlearn could solut
19,2022-04-05,elder popul rise global age group live fullest potenti enhanc qualiti life prepar live life fullest way benefit famili societi elder abl access digit technolog benefit therefor necessari educ elder choo right kind digit technolog qualiti life protect cyber threat studi perform exploratori factor analysi digit technolog compet multistag random sampl method use obtain sampl 225 elder peopl thailand tool use questionnair digit technolog compet includ 45 question 5point scale data analyz use descript statist exploratori factor analysi exploratori factor analysi digit technolog compet elder thailand found six import compon 1 use mobil oper system 2 data file manag 3 cloud data manag 4 use support applic 5 use applic communic 6 use technolog secur thus elder need develop onlin media literaci safe navig internet creativ use data found virtual domain
20,2022-04-05,globe grappl covid19 pandem enslav economi includ educ sector epidem caus recent chang disrupt aspect life pandem compel educ system across world find altaren method keep process educ go cope current case darasak platform author jordanian ministri educ altern choic proceed educ process goal current studi know impact darasak platform compen tool perform educ process covid 19 data collect questionnair distribut web side student teacher parent result studi shown darasak platform new applic student found facil flexibl appropri effect darasak platform expect student satisfi perform darasak platform
21,2022-04-05,studi aim construct theoret model discov main driver user continu intent uci use careem applic jordan studi also focus explor new factor appropri jordanian environ shape peopl behavior toward adopt smart servic partial least squar perform test research model use 500 valid survey construct studi signif account 471 varianc continu intent use careem applic careem user experi eword mouth financ benefit perceiv platform qualiti found strongest predictor toward intent use level 0001 two predictor level 001 includ perceiv enjoy perceiv innov find also indic famili confid women empow weakest effect level 005 articl provid import inform futur research field technolog accept specif field mobil phone applic term ad new variabl contribut understand user intent continu use technolog implic studi provid design develop mobil applic institut relat transport provid mobil applic servic
22,2022-04-05,choic mobil applic app learn heavili reli custom teacher review design descript align exist learn humancomput interact theori limit empir evid advi educ valu mobil app use children understand impact mobil app young children learn time given lack evidenceba recommend could guid parent teacher select app children paper present result seri randomi control trial rcts 376 children age 5 6 year old interact two math app three school uk preposttest comparison reveal learn gain control interv group suggest select applic equal good standard math practic implic select use mobil app discuss
23,2022-04-05,develop inform communic technolog affect learn method media use augment realiti technolog allow student experi learn object seen person purpo studi see student learn use metav app mobil augment realiti softwar scienc cour popul group consist 92 student sever school cluster depok subdistrict sampl taken use slovin formula obtain 75 sampl grade 5 student studi employ experi research techniqu singl group pre posttest ttest use anali collect data accord find use metav applic favour impact student learn outcom student use metav app see better learn outcom student also interest learn easili understand discov learn addit student find fun learn use metav app mobil augment realiti
24,2022-04-05,purpo studi determin effect use anim video media student learn outcom solar system scienc subject determin improv student learn outcom class vi sdn padurenan jayath research design use quantit techniqu use quasiexperi method form nonequiv control group design variabl studi independ variabl use anim media depend variabl student learn outcom subject studi student class vi vi b sdn padurenan jaya total 52 student sampl determin purpo sampl name 28 student experi group vi 26 student control group vi b data collect techniqu studi use multipl choic test form pretest posttest test requir hypothesi use normal test use chi squar analysi techniqu homogen test valid test item carri expert judgment test instrument reliabl instrument test calcul kuderrichardson formula kr20 obtain r 0893 mean reliabl instrument high data analysi techniqu use separ group ttest independ sampl test ttest use determin differ level student learn outcomesba result studi averag score pretest control class 4654 averag posttest 6404 experi class averag valu pretest 4839 averag valu posttest 7482 increa learn outcom control class 1750 experi class 2643 analysi use result posttest test ttest acquisit count > tabl 4775 > 2021 indic ho reject ha accept result conclud student learn outcom use anim video media greater result student learn use convent method lectur blackboard
25,2022-04-05,studi aim investig effect use interact simul develop physic concept sampl kindergarten children achiev studi object semiexperi method use studi sampl consist 45 kindergarten children pink bird kindergarten petra random divid two group experi group 22 children taught use interact simul control group 23 children taught tradit way contrari tradit method educ studi result prove effect interact simul acquisit physic concept among kindergarten children also found around 61 chang depend variabl physic concept due use interact simul teach eventu studi includ set recommend light result
