,article_title,keywords,publishing_date,abstract
0,systematic review of enhancement of artificial bee colony algorithm using ant colony pheromone,",artificial bee colony, pheromone, ant colony",2021-08-23,"the artificial bee colony (abc) is a well-studied algorithm developed to solve continuous function optimization problems by karboga and akay in 2009. abc has been proven to be more effective than other biological-inspired algorithms with good exploration. however, abc suffers from low exploitation and slow convergence in some cases. the abc algorithm study has risen significantly over the past decade, with many researchers trying to improve abc performance and apply it to solve problems. one method to enhance abc is to borrow exploration technique from other algorithms. researchers use pheromone, which is a technique used by ant colony optimization algorithm, to enhance abc and addressed several aspects of using a pheromone to enhance the abc. this systematic review aims to review and analysis articles about using pheromone to enhance abc. articles on related topics were systematically searched in four major databases namely scopus, web of science, association for computing machinery acm and google scholar. to ensure that all research articles were considered the start date is not restrictions the search carry out till february 2021.five articles were selected based on our inclusion and exclusion criteria for the systematic review. the results show that the use pheromone to enhance abc can increase the abc exploitation ability and overcoming the late convergence. this paper also illustrates several potential pheromone using for future work."
1,the acceptance of mobile learning: a case study of 3d simulation android app for learning physics,",m-learning, 3d-simulation, android",2021-09-06,"this study investigates the adoption of the mobile learning, 3d simulation android app, as an innovative tool for learning in physics for high school students. the factors affecting the acceptance of mobile learning are also determined in this study. the proposed research model employs two constructs, perceived usefulness and perceived ease of use, from technology acceptance model (tam) as a baseline and adds another relevant factor based on prior mobile learning adoption research, perceived enjoyment. data are collected through questionnaires distributed to 50 high school students using google forms. structural equation modeling (sem) is used to analyze and develop the research model. the study finds that perceived enjoyment becomes the most influencing factor considered by high school students to use mobile learning, 3d simulation android app, followed by perceived usefulness. however, the perceived ease of use factor does not significantly influence the acceptance of the 3d simulation android app."
2,"the relationship pattern of internet usage frequency, generation z characteristics, and teaching method in the millennium era",",correspondence analysis, generation z, internet, teaching method",2021-09-20,"generation z students mount challenges to develop teaching methods in the millennium era due to their diverse characteristics from the previous generation as they are proficient in utilizing the internet, less attentive to each other and the environment, prefer immediate things regardless of all complex processes they shall go through. this study aims to seek the relationship pattern between generation z clusters, teaching methods, and internet usage frequency. this study involved 222 junior high school students in jakarta. the two-step cluster, cross-tabulation, and correspondence analysis were used for data analysis. the method used is correspondence analysis. the findings indicated that internet usage frequency has a significant relationship with generation z clusters and teaching methods. the results concluded that students who use the internet less than five hours prefer the full tutorial method and group assignments, and those who use the internet more than five hours prefer tutorial and field assignments"
3,the development of video on pickled fruit production for flipped classroom,",m-learning, multimedia learning, demonstration video, food science learning, food science education",2021-10-12,"undergraduate students are categorized as generation z. they prefer learning using video rather than the book. demonstration videos are suitable for productive courses because they show step by step of product making.  this study aimed to 1) develop a video of pickled fruit production for the food preservation technology course, universitas negeri yogyakarta (uny), indonesia and 2) determine the video's feasibility. this study was a research and development (r&d) performed by ten steps, namely information collecting, planning, developing initial products, preliminary field testing, main product revision, main field testing, operational product revision, operational field testing, final product revision, as well as dissemination and implementation. data analysis was performed descriptively. the video feasibility analysis was conducted by one material expert, one media expert, two teachers, two peer reviewers, four students in one-on-one testing, and 36 students in classroom testing. based on the feasibility test, the video was declared very feasible as learning media. text, images, animations, and effects appeared in several parts of the video, making it easier for the students to understand the content. this video can be embedded in the learning management system (lms) such as google classroom, moodle, and others to facilitate mobile learning, and implemented in a flipped classroom design. pre-test and post-test were then performed on 29 students in operational field testing. the post-test was significantly higher than the pre-test (p<0.05), so the video was able to improve the students' cognitive skills."
4,social networks apps and their role in tourism marketing in the kingdom of saudi arabia,",social networks apps, mobile, tourism marketing, tourism organization",2021-10-25,"this study aimed at investigating the role of social networks apps in tourism marketing for travel and tourism organizations in al-kharj city, kingdom of saudi arabia. the study used the descriptive and analytical approach to achieve its objectives and test its hypothesis. the study found that social networks apps play a vital role in marketing the tourism product in al-kharj city as well as communicating effectively and cheaply with the customers. the study recommended nominating and training some workers in tourism organizations to deal with social media networks and design websites and applications for these organizations."
5,scalability of mobile cloud storage,",mobile cloud storage, scalability, data management",2021-11-09,"today, there are high demands on mobile cloud storage (mcs) services that need to manage the increasing number of works with stable performance. this situation brings a challenge for data management systems because when the number of works increased mcs needs to manage the data wisely to avoid latency occur. if latency occurs it will slow down the data performance and it should avoid that problem when using mcs. moreover, mcs should provide users access to data faster and correctly. hence, the research focuses on the scalability of mobile cloud data storage management, which is study the scalable on how deep the data folder itself that increase the number of works."
6,developing an interactive university orientation app:  potential users feedback,",smartphone apps, higher institution, gamification, orientation app",2021-11-19," the use of apps has become increasingly common in higher institutions and often linked with the needs of the current generation. this qualitative study investigates the perception of undergraduate students at a university in malaysia as part of a need analysis to develop a university orientation app. fifteen participants were interviewed and the findings suggest that the participants have a positive perception of having the app. the positive perception is mainly based on the needs to navigate around the campus where the apps will help to make the navigation easier and effective by serving as ‘one-stop information center. in addition to the navigation purpose, the potential users request gamification elements to keep them interested in using the app. this paper concludes that an appealing orientation app for the students should expose them to the university surrounding and at the same time contain gamification elements. ,"
7,integrating cloud with self service kiosk: an impact study on society evolution,",self- service kiosk (ssk), cloud computing, self-service technologies (sst), socio-technological issues.,",2021-12-08,"self-service kiosks is the invention of moving technologies with improving the services into a new era of rapid development to society. using self-service kiosks changing the lifestyle schedule of the day, no need to make free time during the working hours to accomplish the services you need, as it's available 24/7. public sectors are adopting ssks at a high rate knowing its potential in revolutionizing how services are offered by improving work efficiency, work experience, relieving human workloads and reducing service cost. the integration of cloud technologies with ssk is an emerging tendency. the survey conducted in the form of questionnaire indicates that cloud enabled ssks are aesthetically appealing and its implementation would assist in offering right content to a right person at the right time. as several industries adopted ssks technology to provide their services, this study aims to understand the impact of the self-service kiosk on society and explain the association between self-service kiosk and cloud- computing."
8,deep learning technique of sentiment analysis for twitter database,",deep learning, sentiment analysis, twitter, twitter database",2022-01-18,"sentiment investigation is the progression of calculating, recognizing as well as classifying the people mentality stated in the outline of the manuscript and the outlook of the individual concerning the particular subject matter can be investigated with the assist of that statistics. the information is accumulated by way of the assistance of api in favor of classifying of the end outcome based on the information collected as in negative way, neutral way  way with the support of the scoring polarity allocated in favor of every statement that are collected. these data are fruitful for discovering and enhancing the consumer requirements and to acquire better tune-up. major improvement of using the concept of sentiment analysis is to develop the user needs by straightforwardly collecting the information from the outsized set of consumers."
9,digital comic media for teaching secondary school science,",digital comics media, augmented reality, teaching science",2022-02-10,"the rapid development of science and technology in the 21st century demands students (both school and university) to hold sufficient skills, including critical thinking and problem solving, to compete globally. educational systems are responsible for promoting the skills through the teaching and learning experiences, including teaching material and learning media applied in the class. this paper highlights the development of mobile apps-based digital comic media in social learning that can be integrated into personalized online learning. the steps to develop the media was applied the gay's procedure. the digital comic media present an interactive science knowledge platform in the form of digital comic media enriched with augmented reality technology. the media has been tested to 20 students during the emerging of the covid-19 pandemic and showing good acceptance. this implies that digital comic media is of value to be used and applied in online learning.,"
10,shared nearest neighbour in text mining for classification material in online learning using mobile application,",text mining, classification, mobile application",2022-02-28,"there are many resources for media learning in online learning that all of the teachers made many media which it made a problem if there have the same subject and material. this problem made online learning having a big database and many materials made useless because the material has the same purpose. the big problem in overload database is that online learning can't be accessed by everyone. this research to fix this problem developed an algorithm in artificial intelligence for the classification of material in online learning with the same subject and purpose so that teachers can use already media. this algorithm is text mining and shared nearest neighbour (ssn) that is embedded in the mobile application to display the classification and the location of searching media in database online learning. the testing in this research  applied in 142 media  with 130 data training and 12 data testing is  the result of testing is 94,7% of the accuracy of the algorithm  and the average of validation is 73,33%.,"
11,bilingual color learning application as alternative color learning for preschool student,",bilingual application, color learning, alternative learning, preschool student",2022-03-08,"color recognition skills for early childhood are very important as a basis for starting other learning, by recognizing colors a child will get the benefits of creative development, development of sensory abilities and other positive benefitsbased on the results of observations that had been done in the kindergarten school that locate in tangerang, indonesia, it was found that most children were still often confused or had difficulty distinguishing colors through conventional teaching. in this research, a color recognition application was built in two languages, which aims to help students to recognize color faster. testing will be carried out using the pretest and posttest methods with the ""paired sample t test"" method to measure the level of student development before and after using the application, user acceptance testing will also be carried out using uat to measure the level of user acceptance of the application that had been made. from these evaluation, it was found that the results of the development were quite good with the t-stat results of 8.69 and the user acceptance test results of 86.72%."
12,employing mobile technologies to investigate the association between abstraction skills and performance in environmental studies in early primary school,",mobile technologies, computational thinking, abstraction, environmental study",2022-03-22,"in the modern digital era, the impressive development of mobile technologies has entailed the reformation of orientations, dispositions and stances in education, changing the dominant approaches to learning. in this article, we introduce the novel idea of the synergistic development of computational thinking skills and environmental awareness in the early primary school years, by employing mobile technologies."
13,a novel approach to support scalable multicast routing in wireless ad hoc networks,",mobile ad hoc networks, multicast routing, scalable, location-based routing, gps",2022-04-05,"nowadays, group communications over mobile ad hoc networks (manets) have received significant attention. multicasting plays an important role in simultaneous delivery of information to group of receivers. thus, it is necessary to design efficient and effective multicast routing protocol to support group communication applications. several efforts have been put to improve multicast routing. however, they do not consider scalability issue. this paper introduces a a novel scalable geographic multicast routing protocol (sgmrp). the main objective of this protocol is to design a lightweight scalable multicast routing scheme irrespective of the number of multicast members and network size. to achieve this, a virtual clustering strategy has been introduced. this strategy based on partitioning the network into sectorial zones. the proposed solution performs efficient packet forwarding with reduced communication overhead. the proposed scheme eliminates the duplicate packets between clusters and reduces the number of participating nodes"
14,factors that may contribute to the establishment of mobile learning in institutions â?? results from a survey,",distance education, education innovation, mobile learning, mlearning, mobile devices.,",2007-10-11,"this paper reports on a survey investigating the role that differences in expectations and perceptions of mobile learning and mobile devices play in establishing mobile learning at an educational institution.   responses from institutions with no institutional plans for mobile learning and others that do plan or currently have developed mobile learning programmes were compared.  various factors that may contribute to the establishment of mobile learning in educational institutions were therefore also investigated.  these factors include, amongst other, expectations concerning the impact of mobile technologies on teaching and learning, and perceptions concerning mobile learning applications and mobile learning activities."
