,relevance,words,abstract
0,2,learn mobil use studi,"aim research determin support factor implement mobil learn elementari school student indonesia use authent approach real-world activities. signific various approach mobil learn use elementari institutions. however, educ model ideal data show 92% student learn difficulties, 38% state receiv teacher guidance.th method use descript quantit popul elementari school student purpos select sampl 26 pupils. sampl taken base characterist coastal area citi center. assess entri behavior, questionnair test sheet used. moreover, data gather home visit whatsapp application. process use percentag techniqu smartpl application, obtain accur results. addition, qualit approach use develop analysis.accord results, support factor implement mobil learn use authent approach real-world activ follows: 1) student alreadi concret logic think skills, 2) entri behavior student still low, 3) visual auditori learn style affect meaning learning. furthermore, research suggest teacher learn design creat mobil learn exercis support authent learn real-world pursuits. ,"
1,2,learn mobil use studi,"studi aim develop android learn media concept redox effective, efficient, practical, real-tim learn media accord facil own student evalu qualiti usabl app. approach use research quantit approach form develop research, model use hannafin peck (1988) model. data studi collect process development, expert evalu (expert reviews), small group evaluation. 20 student chemistri educ studi program univers indonesia volunt use evalu app, data collect use questionnaires. result indic qualiti applic obtain expert review 94.7%. furthermore, small group evalu show usabl version 1.1 score 86.7. android-bas learn media redox concept (redokspro applic version 1.1) could util mobil learn resourc learn specif concept reduct oxyd reactions.,"
2,2,learn mobil use studi,"paper aim explor various problem associ technological, pedagogical, psycholog aspect mobil learn develop recommend improvement. mobil learn becom increas popular today. type learn relat new. recent gain popular due pandem restrict 2020. mobil learn activ used, educators, students, profession begin note posit negat sides. studi base method experi well onlin 11-item questionnair conduct (develop authors) 110 teacher russian univers (russian state univers name a.n. kosygina, i.m. sechenov first moscow state medic university, kuban state technolog university). practic signific prospect research base possibl use result studi problem impact mobil applic specif indicators. found that, given great preval mobil devic today, everi reason implement mobil learn universities. however, infrastructur problem prevent widespread use mode deliveri (problem internet, old gadget support 4g, lack technic support, etc.). teacher also mention set problem associ qualiti training, main relat pedagog psycholog aspect process. 56% univers teacher say student often behav irrespons onlin classes. inattentive, tend skip lessons, hand tasks, lead declin knowledg fail test exams. around 68% teacher difficulti adapt teach method mobil learn environment. studi propos structur recommend improv qualiti mobil learn advanc technolog skills, adapt mobil learn need universities, rais motiv teacher students. result studi use analyz compar impact mobil learn society, effici various fields, well mobil learn student futur employ life society.in futur import conduct compar analysi impact mobil learn student teachers, studi effect learn general.,"
3,2,learn mobil use studi,"saudi arabian govern commit updat improv educ system. thus, march 2017, project declar convert exist book-bas methodolog modern, mobil technolog k-12 educ space 2021. part process, deep-div literatur review student accept mobil learn confirm limit research element effect much student like accept learn mobil applic five 18-year-old demograph k-12. conclus literatur review saudi arabian educ ministri must acquir understand element order strateg implement new technology. studi approach high school students, age 16 – 18, saudi arabia, examin element would influenc accept mobil learn technology. research consolid known element education, name learn self-management, system quality, hedon motiv unifi theori accept use technolog (utaut) creat signific theoret model new technolog high school setting. conclus drawn societ influenc affect student approach mobil learning, learn self-management, expect effort performance, hedon motiv qualiti system affect accept behaviour students. also note gender signific factor studi"
4,2,learn mobil use studi,"sinc 2020, covid 19 complet chang daili activ almost nations, educ heavili affected. school closures, face-to-fac classroom halt replac onlin class lectur learner adjust teach learn style cope unexpect situations. new normal learn homes, spend hour stare screens, struggl pile onlin task somehow demotiv student continu learning. studi explor factor affect student desir take onlin cours experienc e-learn covid 19. nine hundr fifty-f student vietnam nation univers took part survey via onlin questionnaire. data analyz use spss20; correlation, hierarch regress employ examin onlin factor influenc student decision. research result show skill enhancement, self-regul learning, lectur interact cours among import predictor student desir take onlin courses. contrast, student interact impos signific influence. studi give theoret background studi field suggest practic implic govern univers implement onlin train better cope pandemic...,"
5,2,learn mobil use studi,"model consist five dimens mobil learn prefer â?? location, level distractions, time day, level motiv avail time â?? propos paper. aim model potenti increas learn effect individu group appropri match alloc mobil learn materials/appl accord learnerâ?? type. exampl given. current research investig relat model described."
6,2,learn mobil use studi,paper analys differ definit mobil learn propos various researchers. distinct featur mobil learn extract propos new definit mobil educ mix realiti game (memrg). questionnair quantifi scale design assist game develop design memrg. new psycho-pedagog approach teach propos memrg. methodolog base theme â??conversationâ?? differ actor learn communiti object build architectur framework memrg.
7,2,learn mobil use studi,"last year sever mobil learn cours experimented. increas popular addit featur mobil devic one key reason mobil learn cours development. superior portabl access equip make suitabl remot interact learn courses. context, paper focus implement mobil learn framework analog electron course. cours design complement classic analog electron courses. cours consist sever interact multimedia modules, end student answer sever orient questions. give feedback learn process teacher, receiv sms messag results. specif modul respons store manag answer server, result student process competit learn base methodolog application."
8,2,learn mobil use studi,"aim studi examin motivation, psycholog languag effect mobil learn school distanc education, univers sain malaysia, penang. mobil learn m-learn new learn phenomenon open distanc learn environments. move stationari mobil learn allow inform collabor interact learners. therefore, necess revis peopleâ?? psycholog factors, process mechan underli m-learn practic move technology-centr implement human-centr effect learn processes. statist packag social scienc (spss) version 12.0 rasch model analysi use measur items. 5-point likert scale questionnair (12 items) sent 105 distanc educ student four cours includ bachelor science, bachelor arts, bachelor social scienc bachelor manag distribut tutori session annual residenti intens cours main campus univers sain malaysia respect cours managers. find show posit respons learner feel happi use addit learn tool (mobil learning). learnerâ?? feel support motiv use mobil applic usabl simpl language."
9,2,learn mobil use studi,"purpos studi determin whether learner will transfer learn mobil learn environ via sms. reason measur effect new method use learn educ especi distanc educ field. reason, studentsâ?? respons gather look three factor name learner characteristic, learn design learn environment. data gather survey research design questionnair use five-point likert scale. questionnair administ 105 distanc educ student four cours includ bachelor science, bachelor arts, bachelor social scienc bachelor management. rasch model analysi use measur dimensions. rasch model one-paramet logist model within item respons theori (irt) wherebi amount given latent trait person amount latent trait reflect various item estim independ yet still compar explicit one another. result studi show learn transfer occur influenc learnerâ?? characterist especi term motiv well perceiv utility/valu sms learn job academ performances."
