,relevance,words,abstract
0,2,learn use student studi educ univers cours bachelor model manag,aim research determin support factor implement mobil learn elementari school student indonesia use authent approach realworld activ signific various approach mobil learn use elementari institut howev educ model ideal data show 92 student learn difficulti 38 state receiv teacher guidanceth method use descript quantit popul elementari school student purpos select sampl 26 pupil sampl taken base characterist coastal area citi center assess entri behavior questionnair test sheet use moreov data gather home visit whatsapp applic process use percentag techniqu smartpl applic obtain accur result addit qualit approach use develop analysisaccord result support factor implement mobil learn use authent approach realworld activ follow 1 student alreadi concret logic think skill 2 entri behavior student still low 3 visual auditori learn style affect meaning learn furthermor research suggest teacher learn design creat mobil learn exercis support authent learn realworld pursuit
1,2,learn use student studi educ univers cours bachelor model manag,studi aim develop android learn media concept redox effect effici practic realtim learn media accord facil own student evalu qualiti usabl app approach use research quantit approach form develop research model use hannafin peck 1988 model data studi collect process develop expert evalu expert review small group evalu 20 student chemistri educ studi program univers indonesia volunt use evalu app data collect use questionnair result indic qualiti applic obtain expert review 947 furthermor small group evalu show usabl version 11 score 867 androidbas learn media redox concept redokspro applic version 11 could util mobil learn resourc learn specif concept reduct oxyd reaction
2,2,learn use student studi educ univers cours bachelor model manag,paper aim explor various problem associ technolog pedagog psycholog aspect mobil learn develop recommend improv mobil learn becom increas popular today type learn relat new recent gain popular due pandem restrict 2020 mobil learn activ use educ student profession begin note posit negat side studi base method experi well onlin 11item questionnair conduct develop author 110 teacher russian univers russian state univers name kosygina im sechenov first moscow state medic univers kuban state technolog univers practic signific prospect research base possibl use result studi problem impact mobil applic specif indic found given great preval mobil devic today everi reason implement mobil learn univers howev infrastructur problem prevent widespread use mode deliveri problem internet old gadget support 4g lack technic support etc teacher also mention set problem associ qualiti train main relat pedagog psycholog aspect process 56 univers teacher say student often behav irrespons onlin class inattent tend skip lesson hand task lead declin knowledg fail test exam around 68 teacher difficulti adapt teach method mobil learn environ studi propos structur recommend improv qualiti mobil learn advanc technolog skill adapt mobil learn need univers rais motiv teacher student result studi use analyz compar impact mobil learn societi effici various field well mobil learn student futur employ life societyin futur import conduct compar analysi impact mobil learn student teacher studi effect learn general
3,2,learn use student studi educ univers cours bachelor model manag,saudi arabian govern commit updat improv educ system thus march 2017 project declar convert exist bookbas methodolog modern mobil technolog k12 educ space 2021 part process deepdiv literatur review student accept mobil learn confirm limit research element effect much student like accept learn mobil applic five 18yearold demograph k12 conclus literatur review saudi arabian educ ministri must acquir understand element order strateg implement new technolog studi approach high school student age 16 – 18 saudi arabia examin element would influenc accept mobil learn technolog research consolid known element educ name learn selfmanag system qualiti hedon motiv unifi theori accept use technolog utaut creat signific theoret model new technolog high school set conclus drawn societ influenc affect student approach mobil learn learn selfmanag expect effort perform hedon motiv qualiti system affect accept behaviour student also note gender signific factor studi
4,2,learn use student studi educ univers cours bachelor model manag,sinc 2020 covid 19 complet chang daili activ almost nation educ heavili affect school closur facetofac classroom halt replac onlin class lectur learner adjust teach learn style cope unexpect situat new normal learn home spend hour stare screen struggl pile onlin task somehow demotiv student continu learn studi explor factor affect student desir take onlin cours experienc elearn covid 19 nine hundr fiftyf student vietnam nation univers took part survey via onlin questionnair data analyz use spss20 correl hierarch regress employ examin onlin factor influenc student decis research result show skill enhanc selfregul learn lectur interact cours among import predictor student desir take onlin cours contrast student interact impos signific influenc studi give theoret background studi field suggest practic implic govern univers implement onlin train better cope pandem
5,2,learn use student studi educ univers cours bachelor model manag,model consist five dimens mobil learn prefer â locat level distract time day level motiv avail time â propos paper aim model potenti increas learn effect individu group appropri match alloc mobil learn materialsappl accord learnerâ type exampl given current research investig relat model describ
6,2,learn use student studi educ univers cours bachelor model manag,paper analys differ definit mobil learn propos various research distinct featur mobil learn extract propos new definit mobil educ mix realiti game memrg questionnair quantifi scale design assist game develop design memrg new psychopedagog approach teach propos memrg methodolog base theme âconversationâ differ actor learn communiti object build architectur framework memrg
7,2,learn use student studi educ univers cours bachelor model manag,last year sever mobil learn cours experi increas popular addit featur mobil devic one key reason mobil learn cours develop superior portabl access equip make suitabl remot interact learn cours context paper focus implement mobil learn framework analog electron cours cours design complement classic analog electron cours cours consist sever interact multimedia modul end student answer sever orient question give feedback learn process teacher receiv sms messag result specif modul respons store manag answer server result student process competit learn base methodolog applic
8,2,learn use student studi educ univers cours bachelor model manag,aim studi examin motiv psycholog languag effect mobil learn school distanc educ univers sain malaysia penang mobil learn mlearn new learn phenomenon open distanc learn environ move stationari mobil learn allow inform collabor interact learner therefor necess revis peopleâ psycholog factor process mechan underli mlearn practic move technologycentr implement humancentr effect learn process statist packag social scienc spss version 120 rasch model analysi use measur item 5point likert scale questionnair 12 item sent 105 distanc educ student four cours includ bachelor scienc bachelor art bachelor social scienc bachelor manag distribut tutori session annual residenti intens cours main campus univers sain malaysia respect cours manag find show posit respons learner feel happi use addit learn tool mobil learn learnerâ feel support motiv use mobil applic usabl simpl languag
9,2,learn use student studi educ univers cours bachelor model manag,purpos studi determin whether learner will transfer learn mobil learn environ via sms reason measur effect new method use learn educ especi distanc educ field reason studentsâ respons gather look three factor name learner characterist learn design learn environ data gather survey research design questionnair use fivepoint likert scale questionnair administ 105 distanc educ student four cours includ bachelor scienc bachelor art bachelor social scienc bachelor manag rasch model analysi use measur dimens rasch model oneparamet logist model within item respons theori irt wherebi amount given latent trait person amount latent trait reflect various item estim independ yet still compar explicit one anoth result studi show learn transfer occur influenc learnerâ characterist especi term motiv well perceiv utilityvalu sms learn job academ perform
10,2,learn use student studi educ univers cours bachelor model manag,effort find best suitabl applic mobil learn sever research work undertaken till date review relat paper unveil mobil devic act better support media teach learn scenario present worker develop context specif learn modul ie person learn content use ontolog base web servic architectur experimant explor done target audienc justifi usabl content real time environ ensur develop content accept usabl usabl aspect care embed analysi design develop content paper step fulfil usabl aspect prepar content describ architectur dissemin system design result studi present
11,2,learn use student studi educ univers cours bachelor model manag,studi explor studentsâ accept mobil learn via short messag servic smslearn amongst distanc learner univers sain malaysia studi aim examin studentâ accept toward languag use smslearn content cost communic also navig system studi employ qualit methodolog data collect questionnair administ 105 distanc educ student bachelor manag bachelor scienc bachelor social scienc bachelor art survey respons tabul 5point likert scale analyz use rasch measur model result indic simpl languag use smslearn accept respond use languag precis lead high usabl smslearn allow academ assist studi
12,2,learn use student studi educ univers cours bachelor model manag,common major young peopl mobil phonein epoch rapid develop inform technolog time came peopl mobil especi among young peopl high school research made school say percentag rate realli high 9923 moment educ institut use opportun aim improv success student mobil servic develop describ work first result provid cognit tool support independ learn appli mobil phone wireless communic technolog extend learn outsid classroom serbiath servic develop time didnât know anyth much way mlearn use world
13,2,learn use student studi educ univers cours bachelor model manag,studi carri order investig whether mobil learn use short messag servic sms method learn adopt student enrol school distanc educ univers sain malaysia adult learner vocat time isol bane selfstudi sinc student mobil devic receiv sms educ messag sent direct devic experiment studi explor impact learnerâ characterist learn design learn environ adopt studi utilis two model data analysi statist packag social scienc spss version 120 rasch model analysi measur analysi conduct sampl 105 student base gender age ethnic programm studi mobil devic ownership student four differ cours bachelor scienc bachelor art bachelor social scienc bachelor manag questionnaireansw session administ respect cours manag tutori session annual residenti intens cours main campus univers sain malaysia result indic mobil learn help pace studi use mobil learn learner easili get inform need anytim anywher learner would also like take anoth mobil learn assist cours cours relev learn need furthermor sms educ content receiv hand phone easili rememb
