,,0
0,0,artificial bee colony
0,1, pheromone
0,2, ant colony
1,0,m-learning
1,1, 3d-simulation
1,2, android
2,0,correspondence analysis
2,1, generation z
2,2, internet
2,3, teaching method
3,0,m-learning
3,1, multimedia learning
3,2, demonstration video
3,3, food science learning
3,4, food science education
4,0,social networks apps
4,1, mobile
4,2, tourism marketing
4,3, tourism organization
5,0,mobile cloud storage
5,1, scalability
5,2, data management
6,0,smartphone apps
6,1, higher institution
6,2, gamification
6,3, orientation app
7,0,self- service kiosk (ssk)
7,1, cloud computing
7,2, self-service technologies (sst)
7,3, socio-technological issues.
7,4,
8,0,deep learning
8,1, sentiment analysis
8,2, twitter
8,3, twitter database
9,0,digital comics media
9,1, augmented reality
9,2, teaching science
10,0,text mining
10,1, classification
10,2, mobile application
11,0,bilingual application
11,1, color learning
11,2, alternative learning
11,3, preschool student
12,0,mobile technologies
12,1, computational thinking
12,2, abstraction
12,3, environmental study
13,0,mobile ad hoc networks
13,1, multicast routing
13,2, scalable
13,3, location-based routing
13,4, gps
14,0,distance education
14,1, education innovation
14,2, mobile learning
14,3, mlearning
14,4, mobile devices.
14,5,
15,0,adaptive systems
15,1, informal learning
15,2, information retrieval
15,3, mobile communication
15,4, museums
15,5, unsupervised learning
16,0,ad-hoc messaging network
16,1, mobile ad-hoc network
16,2, network simulation
16,3, time shifted routing
16,4, store and foreward message propagation
17,0,m-learning
17,1, contextual learning
17,2, just-in-time learning
17,3, learning by doing
17,4, wearable computer
17,5, computer augmented environment
17,6, cooperative activities
18,0,context-awareness
18,1, educational technology
18,2, m-learning
18,3, mobile aided learning
18,4, ontology
19,0,elderly
19,1, career preference
19,2, digitalization
19,3, digital technology
19,4, digital skill
20,0,flexibility
20,1, covid 19
21,0,careem application
21,1, family confidence and women empowerment
21,2, user experience
21,3, e-word of mouth
21,4, jordan
22,0,mobile apps
22,1, maths
22,2, learning
22,3, children
22,4, rcts
23,0,mobile augmented reality
23,1, learning outcome
23,2, metaverse studio
24,0,animation media
24,1, solar system
24,2, learning outcomes
25,0,interactive simulatation
25,1, physics concepts
26,0,mix code
26,1, gen z
26,2, social media
26,3, sociolinguistics
27,0,lav-fis 
27,1, field-based learning
27,2, virtual
27,3, learning
27,4, covid-19
28,0,interactive media
28,1, android
28,2, learning outcomes
29,0,educational robotics
29,1, primary school
29,2, professional teacher development
29,3, storytelling
30,0,hydroponics
30,1, smart agriculture
30,2, internet of things
30,3, notification
31,0,digital game
31,1, learning motivation
31,2, wordwall
32,0,covid-19
32,1, disruptive era
32,2, hi world
32,3, smart book
32,4, augmented reality
33,0,online training; gamification; game elements; engagement; employee
34,0,covid-19
34,1, pandemic
34,2, distance learning
34,3, music education
34,4, e-learning
35,0,quality of experience
35,1, qoe
35,2, mobile device
35,3, mobile applications
36,0,android
36,1, learning tools
36,2, local wisdom
36,3, physics learning
36,4, traditional game
37,0,online psychological assessment
37,1, assessment skills training
37,2, academic life
38,0,augmented reality
38,1, 3d geometric thinking
38,2, junior high school students
38,3, 6e instructional 3d geometric model
39,0,computational thinking
39,1, board game             
39,2,          design and development research 
39,3, evaluation                 
39,4,
40,0,aquatic ecosystem
40,1, internet of things
40,2, mlp
40,3, smote
41,0,tsunami evacuation drill
41,1, map-based tsunami simulation
41,2, web system
41,3, mobile devices
41,4, disaster education
42,0,machine element applications
42,1, interactive
42,2, mobile
42,3, learning
42,4, distance
42,5, media
43,0,motor skills
43,1, exercise
43,2, agility
43,3, sensor technology
44,0,essential competencies
44,1, pre-teacher
44,2, construction and housing engineering expertise program
45,0,systematic literature review
45,1, research trends
45,2, mobile-assisted language learning
45,3, mall
45,4, english as second language (esl)
45,5, mobile technologies
45,6, malaysia
46,0,iot
46,1, esp8266
46,2, covid-19
46,3, sinric pro
46,4, smart voice assistants
47,0,smart electrical device control
47,1, internet of things
47,2, smart monitoring
47,3, energy efficiency
48,0,mobile learning
48,1, entry behavior
48,2, learning style
48,3, authentic learning
48,4, real-world activities
49,0,edutainment
49,1, educational music video
49,2, video-based learning
49,3, children learning
50,0,remedial teaching
50,1, augmented reality
50,2, chinese radicals
51,0,iot
51,1, wot
51,2, search engine
51,3, multi agent system
52,0,virtual reality
52,1, immersive virtual reality
52,2, mobile hmd
52,3, tethered hmd
52,4, cybersickness
52,5, simulator sickness
52,6, cybersickness reduction guidelines.
52,7,
53,0,literature review
53,1, research trends
53,2, stem education
53,3, systematic
54,0,mobile e-learning platform
54,1, mobile application
54,2, augmented reality
54,3, unity3d
54,4, physics
55,0,learning management system
55,1, assessment for learning
55,2, computational thinking
56,0,multi-uav
56,1, flying ad hoc networks
56,2, topology-based routing protocol
56,3, gauss markov
56,4, flying altitude
56,5, 
56,6,
57,0,kvisoft flipbook
57,1, creative thinking
57,2, mathematics
58,0,online-classrooms
58,1, students participation
58,2, students interaction
58,3, students attendance
58,4, pro-gramming lab
58,5, course learning outcome
58,6, e-learning platform
59,0,internet of things
59,1, iot
59,2, critical factors
59,3, pre-service teachers
59,4, e-learning
59,5, technology acceptance model (tam)
59,6,
60,0,augmented reality
60,1, hologram
60,2, learning media
60,3, ludo game
60,4, molecular shapes
61,0,e – learning
61,1, e-learning quality
61,2, platforms
61,3, content quality
62,0,assessment
62,1, competency-based approach
62,2, authoring system
62,3, e-learning
62,4, feed-back
63,0,user experience (ux)
63,1, automated ux evaluation
63,2, ux evaluation
63,3, moderated ux evaluation
63,4, mobile applications
64,0,disruptive education
64,1, edukit
64,2, entrepreneurship learning
64,3, experimental learning
64,4, gamification
65,0,disruptive media
65,1, self-efficacy
65,2, education 4.0
65,3, learning media
65,4, educational innovation background
66,0,e-learning
66,1, redox reaction
66,2, augmented reality
67,0,intrusion detection
67,1, cloud market
67,2, multiple criterion decision making
67,3, security mechanism
67,4, fuzzy integral
67,5, malicious nodes
68,0,mobile learning
68,1, redox
68,2, chemistry
68,3, learning media
69,0,organic chemistry
69,1, stem approach
69,2, android
70,0,mobile application
70,1, user-centered design
70,2, physical education
70,3, movement competency training
70,4, flexible learning
71,0,e-learning module
71,1, semiconductor power components
71,2, inverter system
72,0,user experience
72,1, user-centered design
72,2, farm monitoring
72,3, mobile
73,0,e-module
73,1, ethnomathematics
73,2, problem-solving
73,3, building space
74,0,mooc
74,1, education 3.0
75,0,engagement
75,1, academic performance
75,2, seamless learning
75,3, testing effect
75,4, web quizzing
76,0,android-based interactive e-modules
76,1, trigonometrics
77,0,mobile learning
77,1, online learning
77,2, psychological and pedagogical barriers
77,3, psychology of mobile education
77,4, technology
78,0,web usability
78,1, website
78,2, interface
78,3, educational website
78,4, users preference
79,0,game
79,1, safety training
79,2, hazard
79,3, framework
80,0,mobile application
80,1, microb
80,2, science learning
80,3, primary school
81,0,botswana
81,1, boundary crossing
81,2, covid-19
81,3, educational technology
81,4, m-learning
81,5, whatsapp
82,0,mobile parenting training program
82,1, ubiquitous learning
82,2, parenting skills
82,3, parental locus of control
83,0,augmented reality
83,1, computational thinking elements
83,2, geometry
83,3, qualitative
84,0,mobile augmented reality
84,1, adaptive
84,2, engagement
85,0,game-based learning
85,1, augmented reality
85,2, geography
86,0,educational data mining
86,1, decision trees
86,2, random forest
86,3, and logistic regressions
87,0,android
87,1, malware
87,2, opcodes
87,3, recurrent neural networks
88,0,multi criteria decision making
88,1, ahp
88,2, topsis
89,0,time division duplex
89,1, scheduling
89,2, throughput
89,3, radio resource allocation
89,4, 5g nr
90,0,olsr routing protocol
90,1, random mobility
90,2, group mobility
90,3, bonnmotion software
90,4, network simulation.
90,5,
91,0,korean as a foreign language
91,1, korean language learning
91,2, mobile-assisted language learning
91,3, wechat
92,0,cognitive abilities and distance learning
92,1, intrinsic and extrinsic motivation
92,2, methods of increasing interest in learning
92,3, mobile learning
92,4, student interest in learning
92,5, teacher motivation
93,0,mobile learning
93,1, secondary education
93,2, distance education and online learning.
93,3,
94,0,social networks (sns)
94,1, privacy
94,2, trust
94,3, user behavior
95,0,mobile learning
95,1, online learning
95,2, student satisfaction
95,3, interaction
95,4, technical support
95,5, skill enhancement
95,6, covid 19
96,0,social media networks
96,1, security information
96,2, privacy
96,3, policy enforcement
97,0,iot
97,1, cloud computing
97,2, rfid
97,3, wsn.
97,4,
98,0,human gait detection
98,1, abnormal gait
98,2, machine learning
98,3, deep learning
98,4, sensors
98,5, accelerometer
98,6, gyroscope
99,0,the similarities
99,1, differences
99,2, mid-maturity
99,3, 
99,4, gender-specific behaviours
100,0,software quality assurance
100,1, software quality strategy
100,2, software quality classifications
101,0,fraud detection
101,1, cnn
101,2, lstm
101,3, auto encoder
102,0,mobile augmented reality
102,1, motivation
102,2, preschool students
102,3, reading skills
102,4, self-learning.
102,5,
103,0,barcode reader
103,1, radio frequency identification
103,2, smart gate
103,3, smart shopping gate
104,0,iot application
104,1, security of iot
104,2, information security
104,3, security triad
105,0,m-learning
105,1, mobile technology
105,2, knowledge management
105,3, performance expectancy
105,4, effort expectancy
106,0,security
106,1, biometric system
106,2, smart home
106,3, authentication
106,4, smartphones
107,0,malware detection
107,1, n-gram
107,2, opcode
107,3, machine learning
107,4, ensemble
107,5, grid search
108,0,usability testing
108,1, mobile learning
108,2, mobile apps
108,3, preschool children
109,0,sentiment analysis
109,1, android
109,2, google play
109,3, user review
109,4, mining threat
109,5, security
110,0,internet of things (iot)
110,1, voice detection
110,2, physical impairment technology
110,3, smart home
110,4, interfacing esp8266.
110,5,
111,0,e-learning
111,1, learning management systems
111,2, blackboard
111,3, data mining
111,4, grades
111,5, flask framework
111,6, sms
111,7, t-test
111,8, cnn.
111,9,
112,0,machine learning
112,1, text classification
112,2, system analyze
112,3, graduation project
113,0,web applications
113,1, secure socket layer (ssl)
113,2, python
113,3, analysis
113,4, threat modelling
113,5, security assessment tools
114,0,surveillance system
114,1, face detection
114,2, face recognition
114,3, face tracking
114,4, low-cost camera
114,5, face mask.
114,6,
115,0,android
115,1, cryptography
115,2, ecc
115,3, ecdh
115,4, instructional technology
115,5, rsa
116,0,ar module
116,1, project-based learning
116,2, augmented reality
116,3, phase change
116,4, stem
117,0,whatsapp application
117,1, communication tool
117,2, learning tool
117,3, collaboration tool
117,4, communication skills
118,0,basic refinery
118,1, augmented reality
118,2, visualization skills
118,3, learning courseware
