,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,artificialbeecolony,pheromone,antcolony,,,,,,,,,,,,,
1,mlearning,3dsimulation,android,,,,,,,,,,,,,
2,correspondenceanalysis,generationz,internet,teachingmethod,,,,,,,,,,,,
3,mlearning,multimedialearning,demonstrationvideo,foodsciencelearning,foodscienceeducation,,,,,,,,,,,
4,socialnetworksapps,mobile,tourismmarketing,tourismorganization,,,,,,,,,,,,
5,mobilecloudstorage,scalability,datamanagement,,,,,,,,,,,,,
6,smartphoneapps,higherinstitution,gamification,orientationapp,,,,,,,,,,,,
7,selfservicekioskssk,cloudcomputing,selfservicetechnologiessst,sociotechnologicalissues,,,,,,,,,,,,
8,deeplearning,sentimentanalysis,twitter,twitterdatabase,,,,,,,,,,,,
9,digitalcomicsmedia,augmentedreality,teachingscience,,,,,,,,,,,,,
10,textmining,classification,mobileapplication,,,,,,,,,,,,,
11,bilingualapplication,colorlearning,alternativelearning,preschoolstudent,,,,,,,,,,,,
12,mobiletechnologies,computationalthinking,abstraction,environmentalstudy,,,,,,,,,,,,
13,mobileadhocnetworks,multicastrouting,scalable,locationbasedrouting,gps,,,,,,,,,,,
14,distanceeducation,educationinnovation,mobilelearning,mlearning,mobiledevices,,,,,,,,,,,
15,adaptivesystems,informallearning,informationretrieval,mobilecommunication,museums,unsupervisedlearning,,,,,,,,,,
16,adhocmessagingnetwork,mobileadhocnetwork,networksimulation,timeshiftedrouting,storeandforewardmessagepropagation,,,,,,,,,,,
17,mlearning,contextuallearning,justintimelearning,learningbydoing,wearablecomputer,computeraugmentedenvironment,cooperativeactivities,,,,,,,,,
18,contextawareness,educationaltechnology,mlearning,mobileaidedlearning,ontology,,,,,,,,,,,
19,elderly,careerpreference,digitalization,digitaltechnology,digitalskill,,,,,,,,,,,
20,flexibility,covid19,,,,,,,,,,,,,,
21,careemapplication,familyconfidenceandwomenempowerment,userexperience,ewordofmouth,jordan,,,,,,,,,,,
22,mobileapps,maths,learning,children,rcts,,,,,,,,,,,
23,mobileaugmentedreality,learningoutcome,metaversestudio,,,,,,,,,,,,,
24,animationmedia,solarsystem,learningoutcomes,,,,,,,,,,,,,
25,interactivesimulatation,physicsconcepts,,,,,,,,,,,,,,
26,mixcode,genz,socialmedia,sociolinguistics,,,,,,,,,,,,
27,lavfis,fieldbasedlearning,virtual,learning,covid19,,,,,,,,,,,
28,interactivemedia,android,learningoutcomes,,,,,,,,,,,,,
29,educationalrobotics,primaryschool,professionalteacherdevelopment,storytelling,,,,,,,,,,,,
30,hydroponics,smartagriculture,internetofthings,notification,,,,,,,,,,,,
31,digitalgame,learningmotivation,wordwall,,,,,,,,,,,,,
32,covid19,disruptiveera,hiworld,smartbook,augmentedreality,,,,,,,,,,,
33,onlinetraininggamificationgameelementsengagementemployee,,,,,,,,,,,,,,,
34,covid19,pandemic,distancelearning,musiceducation,elearning,,,,,,,,,,,
35,qualityofexperience,qoe,mobiledevice,mobileapplications,,,,,,,,,,,,
36,android,learningtools,localwisdom,physicslearning,traditionalgame,,,,,,,,,,,
37,onlinepsychologicalassessment,assessmentskillstraining,academiclife,,,,,,,,,,,,,
38,augmentedreality,3dgeometricthinking,juniorhighschoolstudents,6einstructional3dgeometricmodel,,,,,,,,,,,,
39,computationalthinking,boardgame,designanddevelopmentresearch,evaluation,,,,,,,,,,,,
40,aquaticecosystem,internetofthings,mlp,smote,,,,,,,,,,,,
41,tsunamievacuationdrill,mapbasedtsunamisimulation,websystem,mobiledevices,disastereducation,,,,,,,,,,,
42,machineelementapplications,interactive,mobile,learning,distance,media,,,,,,,,,,
43,motorskills,exercise,agility,sensortechnology,,,,,,,,,,,,
44,essentialcompetencies,preteacher,constructionandhousingengineeringexpertiseprogram,,,,,,,,,,,,,
45,systematicliteraturereview,researchtrends,mobileassistedlanguagelearning,mall,englishassecondlanguageesl,mobiletechnologies,malaysia,,,,,,,,,
46,iot,esp8266,covid19,sinricpro,smartvoiceassistants,,,,,,,,,,,
47,smartelectricaldevicecontrol,internetofthings,smartmonitoring,energyefficiency,,,,,,,,,,,,
48,mobilelearning,entrybehavior,learningstyle,authenticlearning,realworldactivities,,,,,,,,,,,
49,edutainment,educationalmusicvideo,videobasedlearning,childrenlearning,,,,,,,,,,,,
50,remedialteaching,augmentedreality,chineseradicals,,,,,,,,,,,,,
51,iot,wot,searchengine,multiagentsystem,,,,,,,,,,,,
