,term,weight
0,00,6.30588246536999e-05
1,000,0.00040556669874731874
2,0000,0.00041246946272636937
3,0001,0.00024615157705815143
4,001,0.00010003427787137807
5,0013,6.70851204997422e-05
6,005,0.0014101112021055104
7,006,0.0001010130602761027
8,008,6.697416110142536e-05
9,009,6.519851305255073e-05
10,013,7.594877709326449e-05
11,015,8.297502556472675e-05
12,0153,0.00014146056854532545
13,0180,6.70851204997422e-05
14,02,0.00023613612684025538
15,020,8.406954177051552e-05
16,025,8.406954177051552e-05
17,03,7.296001343262427e-05
18,032,7.008134788870024e-05
19,0320,8.564696040253049e-05
20,035700,6.596502217846593e-05
21,036,0.00017047376313308876
22,039,0.00010494197881826621
23,04,0.0001772381960127911
24,040079m,6.247147372880799e-05
25,042,8.471951273675818e-05
26,043,0.00011295297978071342
27,049,8.874914841241024e-05
28,05,0.0006222449088719379
29,051875,9.496260822252871e-05
30,054,8.874914841241024e-05
31,056,0.0001638000467279722
32,0562ms,8.564696040253049e-05
33,057,0.00010494197881826621
34,058,5.891138972802834e-05
35,060,8.874914841241024e-05
36,0601,0.00014146056854532545
37,065,5.891138972802834e-05
38,0678,8.970346380892759e-05
39,069,9.326431796579839e-05
40,07,7.296001343262427e-05
41,0714,8.970346380892759e-05
42,072,8.449331896930277e-05
43,075,0.00016343827352761943
44,083,0.00015017175899095678
45,0845,6.47725110750094e-05
46,084606,6.247147372880799e-05
47,085,0.00014016269577740047
48,086,7.594877709326449e-05
49,0870,8.985831677793009e-05
50,0872,6.47725110750094e-05
51,0877,6.47725110750094e-05
52,088,7.652787909981879e-05
53,0893,6.158548867717063e-05
54,09,0.00010797287142563531
55,090,6.70851204997422e-05
56,091,0.0001616382683176682
57,092,7.652787909981879e-05
58,0933,0.00010761048785503294
59,0943,6.47725110750094e-05
60,095,3.0367532020216292e-05
61,0955,9.230562530729094e-05
62,096,6.176312414191956e-05
63,099,0.00014578374157321285
64,0995,7.897754681458736e-05
65,0996,7.897754681458736e-05
66,10,0.0018750840378250126
67,100,0.0015715510727565723
68,1000,6.890073353173951e-05
69,1000mhz,3.0367532020216292e-05
70,100k,5.783038713054229e-05
71,100m,0.00012366075427361413
72,100point,8.167146064435202e-05
73,101,0.00023164122192516362
74,1011,7.665484087832228e-05
75,1015,7.233167948278239e-05
76,1019,7.233167948278239e-05
77,102,0.0001434265751724236
78,1024,0.00012019065656049987
79,103,8.553253885576697e-05
80,104,0.0002509978055132762
81,105,0.0005127289037028519
82,1053,8.059836378879317e-05
83,107,0.0003043118247204031
